"SiteID","Source Description","00h","01h","02h","03h","04h","05h","06hr","07hr","08h","09h","10h","11h","12h","13h","14h","15h","16h","17h","18h","19h","20h","21h","22h","23h"
"KAWW001","Aircraft",1.2,0,0,0,0.4,1.7,0,0,0.4,0,0.4,0.8,0,0.8,0.4,0,0,0,0.4,0.4,0.4,1.2,0,0.4
"KAWW001","Jet",4.6,5,5,1.7,8.3,9.2,6.7,2.5,1.7,6.7,10.4,6.2,8.7,10.4,3.3,7.9,3.8,12.5,5,9.2,9.6,11.7,8.7,9.2
"KAWW001","Prop",1.7,0,0,0,0.8,7.9,7.1,0.8,6.7,0.4,2.1,2.1,4.2,5.4,0.8,1.7,10.8,0,4.6,2.5,1.2,5.4,0,0
"KAWW001","Vehicle",0,0.8,0.8,0.4,0.4,0,10,12.1,7.1,5.8,6.2,3.3,1.2,1.2,0,2.1,2.1,0.4,1.2,0,2.5,3.8,0,0
"KAWW001","Oversnow Vehicle",0,0,0,0,7.1,12.1,26.7,35,33.3,26.7,35.8,22.5,11.7,16.3,35,20,28.7,31.2,20,14.6,18.3,10.8,7.1,13.8
"KAWW001","Motor Sounds",2.1,3.8,5,2.1,11.3,8.7,14.2,22.9,29.2,20.4,18.8,24.2,21.2,21.2,20.8,13.8,8.7,15.4,1.7,10.8,19.2,12.9,9.2,5.4
"KAWW001","Non-natural Unknown",1.2,2.1,2.1,0.8,0.8,1.2,0.8,0.4,2.5,2.9,2.5,4.6,1.7,0,0,0.4,0.4,0.8,0.4,0,0.4,1.2,2.1,3.3
"KAWW001","Wind",26.7,18.8,17.5,27.5,23.7,16.3,17.5,6.7,15,19.2,12.9,18.8,25.4,32.9,32.1,29.6,32.5,28.7,28.3,37.9,33.3,30.8,31.2,27.5
"KAWW001","Wind, Light (not masking)",33.7,45,37.9,42.9,37.9,39.6,40.8,40.4,16.7,29.2,31.2,30.8,49.6,53.3,47.5,37.9,22.9,20.8,29.2,25.8,25.4,27.1,17.1,27.5
"KAWW001","Wind, Strong (masking)",2.5,0,2.9,2.5,5.4,0,0,1.7,1.2,0,3.3,2.1,1.7,1.7,0.8,3.3,10.4,6.7,9.2,6.2,0.4,2.5,2.9,0.4
"KAWW001","Water",12.1,12.5,12.5,12.5,12.5,10.4,11.7,12.9,12.5,12.5,6.7,7.1,5,1.7,2.5,12.1,12.5,12.1,12.5,11.7,4.6,0,0,0
"KAWW001","Snowfall",49.6,47.5,35.4,42.5,39.6,29.2,16.3,19.2,25,26.2,23.7,26.7,27.5,18.3,26.2,19.2,17.9,14.2,13.3,11.7,17.1,16.3,17.5,21.7
"KAWW001","Mammal",0,0,0,0,0,0,0,1.7,2.5,4.6,3.3,2.1,0,1.7,1.7,0,0,0.4,0,0,0,0,0,0.4
"KAWW001","Bird",2.5,1.7,3.3,4.2,4.2,6.2,23.3,47.5,55.8,52.9,62.9,40.8,37.5,44.2,25,20.4,9.6,7.1,7.5,5.8,5.4,7.1,3.3,12.9
"KAWW001","Animal",0.4,0.4,0.4,0.4,0,0.4,0.8,1.2,1.7,2.1,0.4,1.2,1.2,0,0.4,0,0.4,0,0.4,2.1,0.8,0,0.4,0
"KAWW001","Natural Other",2.5,3.8,2.9,6.7,5,4.2,3.3,9.2,7.1,9.2,4.2,9.6,9.2,8.3,9.2,5.4,4.2,3.8,3.3,6.2,3.8,7.5,6.2,10
"KAWW001","Wind-induced Natural",46.7,40.4,28.7,40,40,37.5,25.4,18.3,26.2,35,37.9,47.9,50,53.8,50.4,63.8,59.2,40.4,65.4,56.7,56.3,47.9,49.2,54.6
"KAWW001","Natural Unknown",0.4,0.8,0.8,1.7,2.9,1.2,0,0.4,1.2,2.9,4.6,2.1,8.3,0.4,0.8,0,0,0.4,1.7,0.4,0.4,0.8,0,2.1
"KAWW001","Artifact",0,0.4,0,0,0,0.8,0,1.7,2.1,0.4,1.2,0.4,0.4,0.4,0.8,0,0.4,0,0.4,0,0,0.4,4.6,2.9
"KAWW001","Wind distortion",0.4,0,0.8,0,1.2,0,0,0.4,0.4,0,0,0,0.4,0.4,1.7,1.2,2.9,0.4,0,1.7,0.4,0,0,0
"KAWW001","Static/interference- quiet",12.5,12.9,23.7,18.3,24.2,24.6,25,25,20,23.3,23.3,19.2,10.8,8.7,7.1,12.1,12.1,16.7,20,23.3,22.9,24.6,20.8,22.5
"KAWW001","Static/interference- loud",0,0,0,0,0,0,0,0.8,1.2,0,5.4,4.2,0,0,0,0,0,0,0,0,0,0,0,0
